najboljse:

('454', 4.491071428571429)
('453', 4.491071428571429)
('408', 4.491071428571429)
('318', 4.466442953020135)
('169', 4.466101694915254)
('483', 4.45679012345679)
('114', 4.447761194029851)
('64', 4.445229681978798)
('603', 4.3875598086124405)
('12', 4.385767790262173)

najslabse:

('758', 1.7142857142857142)
('1595', 1.7142857142857142)
('457', 1.7407407407407407)
('688', 1.8409090909090908)
('368', 1.903225806451613)
('1215', 1.9333333333333333)
('1111', 1.9333333333333333)
('743', 1.9487179487179487)
('890', 1.9534883720930232)
('891', 1.9534883720930232)
